,Resident_Provider,Polygamous,Kids_Under_15_In_Settlement,Children_Under_15_outside_settlement,Spouses_on_settlement,Spouses_Outside_HH,recipient_of_wfp,recipient_of_hsnp,OPCT_received,PWSDCT_received,Age,School_meal_receive,Donkeys_owned,Camels_owned,Zebu_cattle_owned,Shoats_owned,Nets_owned,Hooks_owned,Boats_rafts_owned,Relationship_MainProvider_Daughter,Relationship_MainProvider_Father/Mother,Relationship_MainProvider_Foster Child,Relationship_MainProvider_Grandchild,Relationship_MainProvider_Main Provider,Relationship_MainProvider_Other Non-Relative,Relationship_MainProvider_Other Relative,Relationship_MainProvider_Sister/Brother,Relationship_MainProvider_Son,Relationship_MainProvider_Spouse,Gender_Female,Gender_Male,Work_last_7days_Doing nothing,Work_last_7days_Full-time student,Work_last_7days_Herding-Worked on own/family agri. holding,Work_last_7days_Homemaker,Work_last_7days_In capacitated,Work_last_7days_On leave,Work_last_7days_Other,Work_last_7days_Retired,Work_last_7days_SKIP,Work_last_7days_Seeking work,Work_last_7days_Sick leave,Work_last_7days_Worked for pay,Work_last_7days_Worked on own/family business,"Main_provider_occupation_Armed Forces, police or customs","Main_provider_occupation_Burn/sell charcoal, subsis. agric. (small-scale crop/ livestock) fisheries, forest work, agric. labour ( construc. polls, thatch grass)","Main_provider_occupation_Casual unskilled labour, caretakers, messengers, watchman, housekeepers & domestic workers","Main_provider_occupation_Construction, maintenance, mining",Main_provider_occupation_Crop and animal producers (mixed farming- relatively large-scale),"Main_provider_occupation_Drivers, transport, freight workers","Main_provider_occupation_Field crop, vegetable or  horticultural ( arable -no livestock)","Main_provider_occupation_Food, Brewers, catering, baking, butchers, fishmonger, dairy products","Main_provider_occupation_Govt. administrators, local authority officials, NGO staff & other administrators and managers",Main_provider_occupation_Handicraft workers,"Main_provider_occupation_Herding Livestock, poultry, dairy and livestock producers (livestock only)",Main_provider_occupation_Main provider occupation not defined,"Main_provider_occupation_Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Main_provider_occupation_Other jobs,"Main_provider_occupation_Other sales, services or manufacturing","Main_provider_occupation_Primary teachers, secondary, technical Institute teachers or other teaching professionals","Main_provider_occupation_Shop assistants, food vendors, sales & services, cashiers, bartenders",Main_provider_occupation_Street vendors and related,Toilet_Bucket/pan,Toilet_Bush-None,Toilet_Covered pit latrine,Toilet_Flush toilet,Toilet_Other,Toilet_Uncovered pit latrine,Toilet_VIP latrine,Drinking_water_Bottled water,Drinking_water_Other,Drinking_water_Piped water inside dwelling,Drinking_water_Piped water into plot/yard,Drinking_water_Protected dug well,Drinking_water_Protected spring,Drinking_water_Public tap,Drinking_water_Rainwater collection,"Drinking_water_River, Lake, ponds or similar",Drinking_water_Tube well/borehole with pump,Drinking_water_Unprotected dug well/springs,Drinking_water_Water truck/vendor
42722,,,,,,,False,0,False,False,0.3557692307692308,False,0.03636363636363636,0.0,0.08,0.27624309392265195,0.16666666666666666,0.2,0.25,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42732,,,,,,,False,0,False,False,0.46153846153846156,False,0.05454545454545454,0.0,0.15,0.27624309392265195,0.16666666666666666,0.2,0.25,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42733,,,,,,,False,0,False,False,0.46153846153846156,False,0.0,0.0,0.08,0.27624309392265195,0.16666666666666666,0.2,0.25,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42752,,0.0,,,,,False,0,False,False,0.5,False,0.01818181818181818,0.0,0.0,0.4604051565377532,0.16666666666666666,0.2,0.25,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42766,,0.0,,,,,False,0,False,False,0.5480769230769231,False,0.03636363636363636,0.0,0.0,0.1841620626151013,0.16666666666666666,0.2,0.25,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42791,,,,,,,False,0,False,False,0.2884615384615385,False,0.0,0.0,0.0,0.0,0.8333333333333333,0.6000000000000001,0.75,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
42801,,,,,,,False,0,False,False,0.22115384615384615,False,0.0,0.0,0.0,0.0055248618784530384,0.8333333333333333,0.4,0.75,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42809,,,,,,,False,0,False,False,0.375,False,0.0,0.0,0.0,0.0,0.8333333333333333,0.4,0.75,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
42812,,,,,,,False,0,False,False,0.4326923076923077,False,0.0,0.0,0.0,0.01841620626151013,0.8333333333333333,0.6000000000000001,0.75,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42813,,,,,,,False,0,False,False,0.3269230769230769,False,0.0,0.0,0.0,0.009208103130755065,0.5,0.6000000000000001,0.75,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42817,,,,,,,False,0,False,False,0.40384615384615385,False,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.5,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
